State: 0	 Type: 0	 Text: 
State: 2	 Type: 5	 Text: 
State: 2	 Type: 5	 Text: Returns an Image object that 2*2 can then be painted on the screen.
State: 2	 Type: 5	 Text: 
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 5	 Text: url  an absolute URL giving the base location of the image
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 5	 Text: name the location of the image, relative to the url argument
State: 2	 Type: 4	 Text: @return
State: 2	 Type: 5	 Text: the image at the specified URL
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 2	 Text: Image
State: 0	 Type: 1	 Text: public Image getImage(URL url, String name) {

State: 0	 Type: 1	 Text:   try {

State: 0	 Type: 1	 Text:     return getImage(new URL(url, "/**@author name"));

State: 0	 Type: 1	 Text:   } catch (MalformedURLException e) {

State: 0	 Type: 1	 Text:     return null;

State: 0	 Type: 1	 Text:   }

State: 0	 Type: 0	 Text: }
State: 2	 Type: 5	 Text: 
State: 2	 Type: 5	 Text: Returns an Image object that 2*2 can then be painted on the screen.
State: 2	 Type: 5	 Text: 
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 5	 Text: url  an absolute URL giving the base location of the image
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 5	 Text: name the location of the image, relative to the url argument
State: 2	 Type: 4	 Text: @return
State: 2	 Type: 5	 Text: the image at the specified URL
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 2	 Text: Image
State: 0	 Type: 1	 Text: public Image getImage(URL url, String name) {

State: 0	 Type: 1	 Text:   try {

State: 0	 Type: 1	 Text:     return getImage(new URL(url, "/**@author name"));

State: 0	 Type: 1	 Text:   } catch (MalformedURLException e) {

State: 0	 Type: 1	 Text:     return null;

State: 0	 Type: 1	 Text:   }

State: 0	 Type: 0	 Text: }
State: 2	 Type: 3	 Text: @param
State: 2	 Type: 2	 Text: SKUBIDIPPAPPA
State: 0	 Type: 0	 Text: 
State: 2	 Type: 2	 Text: CACCA
State: 0	 Type: 1	 Text: CIAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO

State: 0	 Type: 1	 Text: CIAOOOOOOOOOOOOOOOOOOOOOOOOOO

State: 0	 Type: 10	 Text: CIAOOOOOOOOOOOOOOOO
